frame,time_s,bee_id,x,y,speed_mps
163,8.15,3,243.5,253.0,0.019565
164,8.2,1,657.0,499.5,0.036458
164,8.2,2,586.5,927.0,0.004482
164,8.2,3,246.5,246.5,0.015563
165,8.25,1,657.0,510.0,0.022826
165,8.25,2,584.5,926.0,0.004861
165,8.25,3,253.5,238.0,0.023938
166,8.3,1,656.5,520.5,0.022852
166,8.3,2,581.0,926.5,0.007686
166,8.3,3,265.5,226.0,0.036893
167,8.35,1,656.5,529.0,0.018478
167,8.35,2,576.0,927.5,0.011085
167,8.35,3,271.0,217.0,0.022929
168,8.4,1,655.5,537.5,0.018606
168,8.4,2,575.0,930.0,0.005853
168,8.4,3,275.5,214.5,0.011191
169,8.45,1,657.5,550.0,0.02752
169,8.45,2,571.0,932.0,0.009722
169,8.45,3,278.5,216.0,0.007292
170,8.5,1,656.5,556.0,0.013223
170,8.5,2,571.0,934.0,0.004348
170,8.5,3,279.0,221.5,0.012006
171,8.55,1,657.5,565.5,0.020766
171,8.55,2,570.5,935.5,0.003437
171,8.55,3,276.5,228.0,0.01514
172,8.6,1,657.5,581.5,0.034783
172,8.6,2,566.5,937.5,0.009722
172,8.6,3,275.0,232.0,0.009287
173,8.65,1,658.5,599.0,0.038106
173,8.65,2,563.5,939.0,0.007292
173,8.65,3,274.5,234.5,0.005542
174,8.7,1,659.5,608.5,0.020766
174,8.7,2,560.0,941.0,0.008763
174,8.7,3,274.5,237.0,0.005435
175,8.75,1,659.5,614.5,0.013043
175,8.75,2,559.5,942.5,0.003437
175,8.75,3,274.0,237.5,0.001537
176,8.8,1,663.0,617.5,0.010021
176,8.8,2,554.5,944.5,0.011707
176,8.8,3,274.0,238.5,0.002174
177,8.85,1,668.0,626.0,0.021438
177,8.85,2,550.0,945.0,0.009843
177,8.85,3,273.5,238.5,0.001087
178,8.9,1,674.0,632.0,0.018446
178,8.9,2,546.0,946.5,0.009287
178,8.9,3,274.0,238.0,0.001537
179,8.95,1,677.5,632.5,0.007686
179,8.95,2,544.0,946.5,0.004348
179,8.95,3,275.0,238.0,0.002174
180,9.0,1,680.5,631.0,0.007292
180,9.0,2,540.0,947.5,0.008963
180,9.0,3,275.0,237.5,0.001087
181,9.05,1,683.5,630.5,0.006612
181,9.05,2,538.5,947.0,0.003437
181,9.05,3,276.0,235.0,0.005853
182,9.1,1,687.5,629.5,0.008963
182,9.1,2,536.5,947.0,0.004348
182,9.1,3,275.0,232.5,0.005853
183,9.15,1,695.5,630.0,0.017425
183,9.15,2,532.5,947.0,0.008696
183,9.15,3,276.0,229.5,0.006875
184,9.2,1,707.0,631.0,0.025094
184,9.2,2,527.0,946.0,0.012153
184,9.2,3,275.5,225.0,0.009843
185,9.25,1,710.5,629.5,0.008278
185,9.25,2,526.5,947.0,0.002431
185,9.25,3,274.5,221.5,0.007913
186,9.3,1,715.0,629.5,0.009783
186,9.3,2,525.5,946.0,0.003074
186,9.3,3,273.0,221.0,0.003437
187,9.35,1,722.5,624.0,0.020219
187,9.35,2,523.0,946.5,0.005542
187,9.35,3,274.0,225.0,0.008963
188,9.4,1,726.0,621.5,0.00935
188,9.4,2,522.5,949.5,0.006612
188,9.4,3,276.0,229.0,0.009722
189,9.45,1,728.5,620.0,0.006338
189,9.45,2,520.5,949.5,0.004348
189,9.45,3,277.5,230.0,0.003919
190,9.5,1,732.5,617.0,0.01087
190,9.5,2,514.5,950.0,0.013089
190,9.5,3,276.5,232.5,0.005853
191,9.55,1,737.0,611.5,0.015449
191,9.55,2,512.0,950.5,0.005542
191,9.55,3,275.5,230.0,0.005853
192,9.6,1,742.0,607.5,0.01392
192,9.6,2,510.0,951.0,0.004482
192,9.6,3,273.0,229.5,0.005542
193,9.65,1,745.0,606.0,0.007292
193,9.65,2,511.0,950.5,0.002431
193,9.65,3,272.5,228.0,0.003437
194,9.7,1,750.5,599.5,0.01851
194,9.7,2,512.5,950.5,0.003261
194,9.7,3,269.5,231.0,0.009223
195,9.75,1,759.5,594.0,0.022929
195,9.75,2,515.5,950.0,0.006612
195,9.75,3,269.5,236.0,0.01087
196,9.8,1,765.5,591.5,0.01413
196,9.8,2,517.5,950.5,0.004482
196,9.8,3,268.5,239.0,0.006875
197,9.85,1,770.0,593.0,0.010312
197,9.85,2,521.0,950.5,0.007609
197,9.85,3,262.5,240.5,0.013445
198,9.9,1,769.5,594.5,0.003437
198,9.9,2,524.0,950.0,0.006612
198,9.9,3,256.0,239.0,0.014502
199,9.95,1,772.0,597.0,0.007686
199,9.95,2,529.0,950.0,0.01087
199,9.95,3,252.5,238.5,0.007686
200,10.0,1,778.5,603.0,0.01923
200,10.0,2,532.0,948.5,0.007292
200,10.0,3,246.5,241.0,0.01413
201,10.05,1,786.0,607.5,0.019014
201,10.05,2,533.5,947.5,0.003919
201,10.05,3,240.5,237.5,0.0151
202,10.1,1,788.0,610.0,0.00696
202,10.1,2,533.5,946.0,0.003261
202,10.1,3,236.0,235.5,0.010705
203,10.15,1,789.0,616.5,0.014297
203,10.15,2,532.5,943.0,0.006875
203,10.15,3,232.0,232.5,0.01087
204,10.2,1,791.5,625.0,0.019261
204,10.2,2,532.0,942.0,0.002431
204,10.2,3,228.5,228.5,0.011555
205,10.25,1,794.0,632.0,0.016159
205,10.25,2,533.0,940.5,0.003919
205,10.25,3,226.5,225.0,0.008763
206,10.3,1,797.0,640.5,0.019595
206,10.3,2,535.5,940.0,0.005542
206,10.3,3,223.5,223.5,0.007292
207,10.35,1,798.0,647.5,0.015372
207,10.35,2,541.5,939.0,0.013223
207,10.35,3,224.0,222.0,0.003437
208,10.4,1,801.0,660.0,0.027946
208,10.4,2,542.5,939.0,0.002174
208,10.4,3,223.5,220.0,0.004482
209,10.45,1,803.0,669.5,0.021105
209,10.45,2,542.0,939.5,0.001537
209,10.45,3,223.0,213.0,0.015256
210,10.5,1,804.5,677.5,0.017694
210,10.5,2,542.5,938.0,0.003437
210,10.5,3,223.5,204.0,0.019595
211,10.55,1,803.0,686.0,0.018764
211,10.55,2,544.0,938.0,0.003261
211,10.55,3,226.0,197.0,0.016159
212,10.6,1,802.5,696.5,0.022852
212,10.6,2,546.0,937.5,0.004482
212,10.6,3,229.5,191.5,0.014172
213,10.65,1,802.5,708.0,0.025
213,10.65,2,550.0,935.0,0.010254
213,10.65,3,231.0,191.5,0.003261
214,10.7,1,797.0,717.0,0.022929
214,10.7,2,552.0,933.5,0.005435
214,10.7,3,231.0,195.0,0.007609
215,10.75,1,795.0,733.0,0.035053
215,10.75,2,552.5,930.5,0.006612
215,10.75,3,230.5,202.5,0.016341
216,10.8,1,792.5,744.0,0.024523
216,10.8,2,554.0,929.5,0.003919
216,10.8,3,232.0,205.5,0.007292
217,10.85,1,787.5,756.0,0.028261
217,10.85,2,554.5,930.5,0.002431
217,10.85,3,232.0,209.0,0.007609
218,10.9,1,782.0,763.5,0.020219
218,10.9,2,557.0,931.0,0.005542
218,10.9,3,233.5,211.0,0.005435
219,10.95,1,775.5,773.0,0.025024
219,10.95,2,557.5,932.0,0.002431
219,10.95,3,234.0,213.5,0.005542
220,11.0,1,772.5,779.5,0.015563
220,11.0,2,556.5,932.0,0.002174
220,11.0,3,235.5,216.5,0.007292
